# A0 resolution/history convergence sweep — see
# docs/a0_transport_resolution_decision.md for the decision and
# data/parameter_provenance.csv for what these rows are allowed to
# rank (sensitivity_domain = transport_numerical only).
#
# Geometry, materials and spectrum are HELD FIXED throughout; only
# the tally resolution and the history count move. Per source
# particle: no source activity is involved.
#
# zero_score_fraction_roi counts bins INSIDE the cylinder only —
# the mesh spans the circumscribing cube, so ~21.5% of bins are
# void by construction and must score zero.
# field_diff_vs_reference aggregates the reference's DEPOSITED
# ENERGY onto each grid before comparing; it is not a mean of
# per-bin dose.
# peak_child_rss_kb_cumulative is a running high-water mark across
# all child processes, so only the largest value is meaningful.
coarsening_factor,mesh_nx,mesh_ny,mesh_nz,bin_volume_cm3,batches,particles,histories,seed,roi_bins,total_heating_eV_per_src,absorbed_fraction,zero_score_fraction_roi,heating_floor_eV,bins_above_floor,median_rel_err,p90_rel_err,max_rel_err,mass_weighted_mean_dose_Gy_per_src,total_mass_kg,field_diff_vs_reference,resolution_loss_vs_reference,runtime_s,histories_per_s,statepoint_bytes,peak_child_rss_kb_cumulative
4,12,12,12,15.625,320,50000,16000000,5,1344,310830.9802592408,0.4697780267046131,0.0,0.0,1344,0.012148901052018619,0.017885126216802938,0.02515516266394058,2.347595513755523e-15,27.0,0.006429465420022899,0.3063366158963359,9.219,1735461,50088,186948
8,6,6,6,125.0,5,50000,250000,1,192,310615.71055488836,0.46945267632661786,0.0,0.0,192,0.03525984900829273,0.07102492618112398,0.11493892634365942,2.0714712553866388e-15,27.0,0.016407082986301252,0.5030270634601424,0.288,868815,25896,186948
8,6,6,6,125.0,5,50000,250000,2,192,311620.8158556507,0.4709717539437482,0.0,0.0,192,0.03386918601232569,0.06227276165834793,0.13519660811408468,2.0781487798337727e-15,27.0,0.01858843183044352,0.503453275883548,0.32,780548,25896,186948
8,6,6,6,125.0,5,50000,250000,3,192,309985.4287583184,0.4685000925834739,0.0,0.0,192,0.03337859746642222,0.064110855051471,0.13053015343035954,2.067298992435977e-15,27.0,0.016949990075881317,0.5012456030176783,0.307,813569,25896,186948
8,6,6,6,125.0,5,50000,250000,4,192,310659.1523288152,0.4695183325582293,0.0,0.0,192,0.032280975877505114,0.0631995325870357,0.11238583464231452,2.071517348016448e-15,27.0,0.017675706837277618,0.5014874973465847,0.285,878700,25896,186948
8,6,6,6,125.0,5,50000,250000,5,192,310847.1607468925,0.46980248127331087,0.0,0.0,192,0.03194343380211248,0.06513311301058163,0.09898654338882656,2.072866219809426e-15,27.0,0.018084499252490865,0.5022304299559346,0.28,891918,25896,186948
8,6,6,6,125.0,20,50000,1000000,1,192,310647.99721816066,0.4695014731516586,0.0,0.0,192,0.018477723507828437,0.030181046748326133,0.04868933378116522,2.071573339557397e-15,27.0,0.008634968942225194,0.5017133814452663,0.763,1310003,25896,186948
8,6,6,6,125.0,20,50000,1000000,2,192,311027.9491646334,0.4700757179566895,0.0,0.0,192,0.019303481285483044,0.030557256895882113,0.04286358085005244,2.0742391323774612e-15,27.0,0.0098771928339246,0.5022778804274296,0.667,1499136,25896,186948
8,6,6,6,125.0,20,50000,1000000,3,192,310696.86776889645,0.46957533422840675,0.0,0.0,192,0.01849270893128957,0.02962115826246003,0.04665450446072911,2.0719551745555837e-15,27.0,0.00874352465398033,0.5014846562748329,0.74,1350455,25896,186948
8,6,6,6,125.0,20,50000,1000000,4,192,310599.83706023695,0.4694286857353711,0.0,0.0,192,0.01772108555328825,0.029316983034281874,0.04759282897848889,2.071321009399264e-15,27.0,0.008085782226750457,0.5014923493529214,0.656,1525146,25896,186948
8,6,6,6,125.0,20,50000,1000000,5,192,310961.04957559763,0.46997460848266487,0.0,0.0,192,0.019061835379729407,0.030408943953758694,0.04437759339643577,2.0735676768009445e-15,27.0,0.009379433068522394,0.5023627357947554,0.726,1376483,25896,186948
8,6,6,6,125.0,80,50000,4000000,1,192,310579.70192519727,0.4693982542642272,0.0,0.0,192,0.009572900806594323,0.014587084023633469,0.020247791711846697,2.0711820181904666e-15,27.0,0.004950180625089661,0.5013719667089245,2.495,1603012,25896,186948
8,6,6,6,125.0,80,50000,4000000,2,192,310876.9223296953,0.4698474617885383,0.0,0.0,192,0.009607807320279969,0.014894791391748133,0.02021681095722714,2.073196112013107e-15,27.0,0.00452070102030141,0.5018305133065153,2.226,1796965,25896,186948
8,6,6,6,125.0,80,50000,4000000,3,192,310745.7805415803,0.46964925911778843,0.0,0.0,192,0.00926067743111392,0.014963810072735886,0.02192209055945642,2.0722735028827772e-15,27.0,0.00437987566791303,0.501868356612378,2.559,1563394,25896,186948
8,6,6,6,125.0,80,50000,4000000,4,192,310700.0734932272,0.46958017923725687,0.0,0.0,192,0.009507819031820547,0.015199579973223252,0.020537076749673585,2.0719387589948434e-15,27.0,0.004320926295158623,0.5016805604330584,2.379,1681313,25896,186948
8,6,6,6,125.0,80,50000,4000000,5,192,310842.8876208379,0.4697960230344181,0.0,0.0,192,0.009597585262590271,0.014737878948405492,0.02045730168928712,2.0729044305885883e-15,27.0,0.004599921037140953,0.501781053662108,2.155,1855964,25896,186948
8,6,6,6,125.0,320,50000,16000000,1,192,310743.9906071194,0.469646553879468,0.0,0.0,192,0.004828312755409981,0.007120791882503108,0.00915198388430291,2.0722741050565105e-15,27.0,0.0027682866372200255,0.5016450836678783,9.012,1775494,25896,186948
8,6,6,6,125.0,320,50000,16000000,2,192,310772.0679551655,0.46968898890685556,0.0,0.0,192,0.004832063491319328,0.007117939926861326,0.009341636591583475,2.072503517599021e-15,27.0,0.0027722583243567456,0.5018036176192375,9.473,1688964,25896,186948
8,6,6,6,125.0,320,50000,16000000,3,192,310826.7478665587,0.4697716300285779,0.0,0.0,192,0.004805163529677761,0.007341429322645744,0.009477860350339387,2.0728292863787497e-15,27.0,0.0025090187831070337,0.5018998141214931,9.205,1738233,25896,186948
8,6,6,6,125.0,320,50000,16000000,4,192,310754.623607934,0.4696626241892436,0.0,0.0,192,0.004847033134449645,0.007265776061666301,0.00939516956960786,2.072351695298533e-15,27.0,0.002433114622689939,0.5017933144428293,8.801,1817977,25896,186948
8,6,6,6,125.0,320,50000,16000000,5,192,310830.9802592468,0.46977802670462215,0.0,0.0,192,0.004902700694271523,0.0071458723198280505,0.009559514678091635,2.0728554630205823e-15,27.0,0.0024296260571696174,0.5019183060083253,8.955,1786639,25896,186948
16,3,3,3,1000.0,5,50000,250000,1,27,310615.7105548138,0.46945267632650517,0.0,0.0,27,0.012244712908591419,0.020272692704595866,0.024384097263193204,1.84318975408974e-15,27.0,0.0065366284901255895,0.6203676554580685,0.302,828624,22440,186948
