# melanin ensemble sweep
# N=40 parcels_per_species=6 n_mcs=400 snapshot_interval=100
# seeds=42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
# observable=mean melanin over OCCUPIED SITES (volume-weighted; biofilms_potts.jl take_snapshot). The mean of per-parcel means is a different quantity and is not computed here.
# alpha_M is a declared input, not a measurement.
seed,mcs,species,species_name,alpha_M,volume,n_cells,mean_melanin
50,300,3,C. sphaerospermum,0.1400,699,6,2.703348
50,300,4,B. subtilis,0.0000,698,6,0.767590
50,300,5,A. niger,0.0650,699,6,1.852558
50,300,6,S. oneidensis,0.0000,700,6,0.464987
50,300,7,O. intermedium AM7,0.0000,702,6,0.600299
50,400,1,C. neoformans,0.1000,704,6,3.160322
50,400,2,D. radiodurans,0.0000,702,6,1.328850
50,400,3,C. sphaerospermum,0.1400,698,6,3.051857
50,400,4,B. subtilis,0.0000,697,6,1.004019
50,400,5,A. niger,0.0650,700,6,2.315936
50,400,6,S. oneidensis,0.0000,698,6,0.570296
50,400,7,O. intermedium AM7,0.0000,698,6,0.855231
51,0,1,C. neoformans,0.1000,738,6,0.000000
51,0,2,D. radiodurans,0.0000,496,6,0.000000
51,0,3,C. sphaerospermum,0.1400,352,6,0.000000
51,0,4,B. subtilis,0.0000,377,6,0.000000
51,0,5,A. niger,0.0650,377,6,0.000000
51,0,6,S. oneidensis,0.0000,526,6,0.000000
51,0,7,O. intermedium AM7,0.0000,533,6,0.000000
51,100,1,C. neoformans,0.1000,696,6,1.204383
51,100,2,D. radiodurans,0.0000,699,6,0.183540
51,100,3,C. sphaerospermum,0.1400,701,6,1.598507
51,100,4,B. subtilis,0.0000,697,6,0.182823
51,100,5,A. niger,0.0650,698,6,0.988068
51,100,6,S. oneidensis,0.0000,692,6,0.205620
51,100,7,O. intermedium AM7,0.0000,693,6,0.268392
51,200,1,C. neoformans,0.1000,699,6,1.686070
51,200,2,D. radiodurans,0.0000,696,6,0.436145
51,200,3,C. sphaerospermum,0.1400,701,6,2.302663
51,200,4,B. subtilis,0.0000,697,6,0.420704
51,200,5,A. niger,0.0650,700,6,1.497924
51,200,6,S. oneidensis,0.0000,694,6,0.398031
51,200,7,O. intermedium AM7,0.0000,696,6,0.558867
51,300,1,C. neoformans,0.1000,698,6,2.019065
51,300,2,D. radiodurans,0.0000,698,6,0.686837
51,300,3,C. sphaerospermum,0.1400,703,6,2.813770
51,300,4,B. subtilis,0.0000,697,6,0.642207
51,300,5,A. niger,0.0650,697,6,1.838349
51,300,6,S. oneidensis,0.0000,694,6,0.569661
51,300,7,O. intermedium AM7,0.0000,695,6,0.795655
51,400,1,C. neoformans,0.1000,699,6,2.375220
51,400,2,D. radiodurans,0.0000,702,6,0.996493
51,400,3,C. sphaerospermum,0.1400,700,6,3.173148
51,400,4,B. subtilis,0.0000,696,6,0.879832
51,400,5,A. niger,0.0650,701,6,2.140660
51,400,6,S. oneidensis,0.0000,695,6,0.724543
51,400,7,O. intermedium AM7,0.0000,697,6,1.052454
52,0,1,C. neoformans,0.1000,288,6,0.000000
52,0,2,D. radiodurans,0.0000,548,6,0.000000
52,0,3,C. sphaerospermum,0.1400,288,6,0.000000
52,0,4,B. subtilis,0.0000,370,6,0.000000
52,0,5,A. niger,0.0650,635,6,0.000000
52,0,6,S. oneidensis,0.0000,420,6,0.000000
52,0,7,O. intermedium AM7,0.0000,554,6,0.000000
52,100,1,C. neoformans,0.1000,693,6,1.106414
52,100,2,D. radiodurans,0.0000,700,6,0.118811
52,100,3,C. sphaerospermum,0.1400,701,6,1.720988
52,100,4,B. subtilis,0.0000,698,6,0.184183
52,100,5,A. niger,0.0650,694,6,0.945701
52,100,6,S. oneidensis,0.0000,698,6,0.074062
52,100,7,O. intermedium AM7,0.0000,699,6,0.240587
52,200,1,C. neoformans,0.1000,696,6,1.700092
52,200,2,D. radiodurans,0.0000,699,6,0.288896
52,200,3,C. sphaerospermum,0.1400,699,6,2.437812
52,200,4,B. subtilis,0.0000,700,6,0.485830
52,200,5,A. niger,0.0650,694,6,1.338919
52,200,6,S. oneidensis,0.0000,695,6,0.221516
52,200,7,O. intermedium AM7,0.0000,703,6,0.508851
52,300,1,C. neoformans,0.1000,696,6,2.116168
52,300,2,D. radiodurans,0.0000,699,6,0.504380
52,300,3,C. sphaerospermum,0.1400,702,6,2.997059
52,300,4,B. subtilis,0.0000,697,6,0.780056
52,300,5,A. niger,0.0650,696,6,1.615480
52,300,6,S. oneidensis,0.0000,696,6,0.415866
52,300,7,O. intermedium AM7,0.0000,701,6,0.833849
52,400,1,C. neoformans,0.1000,695,6,2.402784
52,400,2,D. radiodurans,0.0000,696,6,0.658118
52,400,3,C. sphaerospermum,0.1400,700,6,3.695810
52,400,4,B. subtilis,0.0000,697,6,1.156535
52,400,5,A. niger,0.0650,693,6,1.855420
52,400,6,S. oneidensis,0.0000,695,6,0.613206
52,400,7,O. intermedium AM7,0.0000,698,6,1.094178
53,0,1,C. neoformans,0.1000,588,6,0.000000
53,0,2,D. radiodurans,0.0000,378,6,0.000000
53,0,3,C. sphaerospermum,0.1400,352,6,0.000000
53,0,4,B. subtilis,0.0000,368,6,0.000000
53,0,5,A. niger,0.0650,513,6,0.000000
53,0,6,S. oneidensis,0.0000,246,6,0.000000
53,0,7,O. intermedium AM7,0.0000,635,6,0.000000
53,100,1,C. neoformans,0.1000,700,6,1.295674
53,100,2,D. radiodurans,0.0000,706,6,0.411291
53,100,3,C. sphaerospermum,0.1400,699,6,1.548123
53,100,4,B. subtilis,0.0000,697,6,0.180466
53,100,5,A. niger,0.0650,696,6,0.824510
53,100,6,S. oneidensis,0.0000,701,6,0.144143
53,100,7,O. intermedium AM7,0.0000,698,6,0.237920
53,200,1,C. neoformans,0.1000,701,6,1.969765
53,200,2,D. radiodurans,0.0000,703,6,0.811480
53,200,3,C. sphaerospermum,0.1400,701,6,2.229466
53,200,4,B. subtilis,0.0000,696,6,0.425958
53,200,5,A. niger,0.0650,697,6,1.183979
53,200,6,S. oneidensis,0.0000,698,6,0.324454
53,200,7,O. intermedium AM7,0.0000,696,6,0.502230
53,300,1,C. neoformans,0.1000,703,6,2.433587
53,300,2,D. radiodurans,0.0000,703,6,1.148612
53,300,3,C. sphaerospermum,0.1400,702,6,2.683284
53,300,4,B. subtilis,0.0000,694,6,0.637168
53,300,5,A. niger,0.0650,698,6,1.443605
53,300,6,S. oneidensis,0.0000,699,6,0.485819
53,300,7,O. intermedium AM7,0.0000,697,6,0.707045
53,400,1,C. neoformans,0.1000,703,6,2.789514
53,400,2,D. radiodurans,0.0000,704,6,1.437486
53,400,3,C. sphaerospermum,0.1400,701,6,3.015541
53,400,4,B. subtilis,0.0000,697,6,0.862206
53,400,5,A. niger,0.0650,697,6,1.686719
53,400,6,S. oneidensis,0.0000,698,6,0.613161
53,400,7,O. intermedium AM7,0.0000,697,6,0.916830
54,0,1,C. neoformans,0.1000,378,6,0.000000
54,0,2,D. radiodurans,0.0000,288,6,0.000000
54,0,3,C. sphaerospermum,0.1400,465,6,0.000000
54,0,4,B. subtilis,0.0000,465,6,0.000000
54,0,5,A. niger,0.0650,524,6,0.000000
54,0,6,S. oneidensis,0.0000,518,6,0.000000
54,0,7,O. intermedium AM7,0.0000,638,6,0.000000
54,100,1,C. neoformans,0.1000,703,6,1.550405
54,100,2,D. radiodurans,0.0000,697,6,0.226786
54,100,3,C. sphaerospermum,0.1400,699,6,1.603576
54,100,4,B. subtilis,0.0000,698,6,0.082664
54,100,5,A. niger,0.0650,699,6,1.041485
54,100,6,S. oneidensis,0.0000,693,6,0.174211
54,100,7,O. intermedium AM7,0.0000,703,6,0.241586
54,200,1,C. neoformans,0.1000,702,6,2.470696
54,200,2,D. radiodurans,0.0000,697,6,0.515810
54,200,3,C. sphaerospermum,0.1400,703,6,2.345212
54,200,4,B. subtilis,0.0000,697,6,0.180873
54,200,5,A. niger,0.0650,701,6,1.801499
54,200,6,S. oneidensis,0.0000,695,6,0.404574
54,200,7,O. intermedium AM7,0.0000,699,6,0.648897
54,300,1,C. neoformans,0.1000,705,6,3.112551
54,300,2,D. radiodurans,0.0000,697,6,0.812222
54,300,3,C. sphaerospermum,0.1400,704,6,2.953060
54,300,4,B. subtilis,0.0000,695,6,0.264623
54,300,5,A. niger,0.0650,705,6,2.492815
54,300,6,S. oneidensis,0.0000,695,6,0.659294
54,300,7,O. intermedium AM7,0.0000,699,6,1.127017
54,400,1,C. neoformans,0.1000,706,6,3.796029
54,400,2,D. radiodurans,0.0000,701,6,1.222334
54,400,3,C. sphaerospermum,0.1400,706,6,3.618478
54,400,4,B. subtilis,0.0000,696,6,0.356925
54,400,5,A. niger,0.0650,706,6,3.167090
54,400,6,S. oneidensis,0.0000,693,6,0.885431
