# melanin ensemble sweep
# N=20 parcels_per_species=2 n_mcs=400 snapshot_interval=100
# seeds=42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
# observable=mean melanin over OCCUPIED SITES (volume-weighted; biofilms_potts.jl take_snapshot). The mean of per-parcel means is a different quantity and is not computed here.
# alpha_M is a declared input, not a measurement.
seed,mcs,species,species_name,alpha_M,volume,n_cells,mean_melanin
52,300,5,A. niger,0.0650,235,2,2.682328
52,300,6,S. oneidensis,0.0000,235,2,0.943893
52,300,7,O. intermedium AM7,0.0000,234,2,1.217490
52,400,1,C. neoformans,0.1000,234,2,4.108325
52,400,2,D. radiodurans,0.0000,234,2,2.495276
52,400,3,C. sphaerospermum,0.1400,236,2,4.157550
52,400,4,B. subtilis,0.0000,232,2,1.375649
52,400,5,A. niger,0.0650,233,2,3.069629
52,400,6,S. oneidensis,0.0000,234,2,1.203897
52,400,7,O. intermedium AM7,0.0000,235,2,1.394773
53,0,1,C. neoformans,0.1000,246,2,0.000000
53,0,2,D. radiodurans,0.0000,128,2,0.000000
53,0,3,C. sphaerospermum,0.1400,138,2,0.000000
53,0,4,B. subtilis,0.0000,21,2,0.000000
53,0,5,A. niger,0.0650,103,2,0.000000
53,0,6,S. oneidensis,0.0000,99,2,0.000000
53,0,7,O. intermedium AM7,0.0000,44,2,0.000000
53,100,1,C. neoformans,0.1000,235,2,1.794902
53,100,2,D. radiodurans,0.0000,236,2,0.716968
53,100,3,C. sphaerospermum,0.1400,235,2,2.390062
53,100,4,B. subtilis,0.0000,235,2,0.198171
53,100,5,A. niger,0.0650,234,2,1.286731
53,100,6,S. oneidensis,0.0000,234,2,0.311791
53,100,7,O. intermedium AM7,0.0000,233,2,0.575609
53,200,1,C. neoformans,0.1000,234,2,2.824448
53,200,2,D. radiodurans,0.0000,235,2,1.309732
53,200,3,C. sphaerospermum,0.1400,236,2,3.594965
53,200,4,B. subtilis,0.0000,234,2,0.479748
53,200,5,A. niger,0.0650,235,2,2.016286
53,200,6,S. oneidensis,0.0000,233,2,0.590439
53,200,7,O. intermedium AM7,0.0000,233,2,1.246231
53,300,1,C. neoformans,0.1000,235,2,3.408984
53,300,2,D. radiodurans,0.0000,235,2,1.678546
53,300,3,C. sphaerospermum,0.1400,234,2,4.380312
53,300,4,B. subtilis,0.0000,233,2,0.820872
53,300,5,A. niger,0.0650,235,2,2.633121
53,300,6,S. oneidensis,0.0000,232,2,0.738236
53,300,7,O. intermedium AM7,0.0000,234,2,1.810526
53,400,1,C. neoformans,0.1000,235,2,3.893460
53,400,2,D. radiodurans,0.0000,234,2,1.932229
53,400,3,C. sphaerospermum,0.1400,234,2,4.964694
53,400,4,B. subtilis,0.0000,234,2,1.060428
53,400,5,A. niger,0.0650,234,2,3.034338
53,400,6,S. oneidensis,0.0000,233,2,0.891079
53,400,7,O. intermedium AM7,0.0000,233,2,2.202953
54,0,1,C. neoformans,0.1000,244,2,0.000000
54,0,2,D. radiodurans,0.0000,38,2,0.000000
54,0,3,C. sphaerospermum,0.1400,56,2,0.000000
54,0,4,B. subtilis,0.0000,93,2,0.000000
54,0,5,A. niger,0.0650,58,2,0.000000
54,0,6,S. oneidensis,0.0000,58,2,0.000000
54,0,7,O. intermedium AM7,0.0000,225,2,0.000000
54,100,1,C. neoformans,0.1000,234,2,1.962454
54,100,2,D. radiodurans,0.0000,234,2,0.737888
54,100,3,C. sphaerospermum,0.1400,233,2,2.001305
54,100,4,B. subtilis,0.0000,233,2,0.343410
54,100,5,A. niger,0.0650,231,2,1.082495
54,100,6,S. oneidensis,0.0000,231,2,0.271569
54,100,7,O. intermedium AM7,0.0000,233,2,0.646684
54,200,1,C. neoformans,0.1000,234,2,2.976187
54,200,2,D. radiodurans,0.0000,233,2,1.451815
54,200,3,C. sphaerospermum,0.1400,234,2,3.049163
54,200,4,B. subtilis,0.0000,234,2,0.728943
54,200,5,A. niger,0.0650,231,2,1.691521
54,200,6,S. oneidensis,0.0000,231,2,0.604081
54,200,7,O. intermedium AM7,0.0000,233,2,1.208406
54,300,1,C. neoformans,0.1000,235,2,3.747897
54,300,2,D. radiodurans,0.0000,234,2,2.045283
54,300,3,C. sphaerospermum,0.1400,234,2,3.741474
54,300,4,B. subtilis,0.0000,235,2,1.080594
54,300,5,A. niger,0.0650,235,2,2.524446
54,300,6,S. oneidensis,0.0000,233,2,1.008616
54,300,7,O. intermedium AM7,0.0000,234,2,1.656969
54,400,1,C. neoformans,0.1000,235,2,4.258344
54,400,2,D. radiodurans,0.0000,236,2,2.544340
54,400,3,C. sphaerospermum,0.1400,235,2,4.279403
